"sheet","conditions","val","date","dpi","plate","note","A","B","norm","irregular"
"Positive Controls for candidate","Sr35WT + AvrSr35",3.104661,"13.08.2026","4","1","","Sr35WT","AvrSr35",0.0174558109332776,FALSE
"Positive Controls for candidate","Sr35WT + AvrSr35",3.306728,"13.08.2026","4","1","","Sr35WT","AvrSr35",0.0189024940035181,FALSE
"Positive Controls for candidate","Sr35WT + AvrSr35",3.194811,"13.08.2026","4","1","","Sr35WT","AvrSr35",0.0181012328912528,FALSE
"Rx53","Rx53 + SRE2",15.85174,"31.07.2026","4","2","irregular","Rx53","SRE2",0.00556828192927781,TRUE
"Rx53","Rx53 + SRE2",139.79652,"31.07.2026","4","2","irregular","Rx53","SRE2",1,TRUE
"Rx53","Rx53 + SRE2",19.208396,"31.07.2026","4","2","irregular","Rx53","SRE2",0.0324993490791199,TRUE
"Rx53","Rx53 + PvxCP",25.508321,"31.07.2026","4","2","irregular","Rx53","PvxCP",0.0830448036070693,TRUE
"Rx53","Rx53 + PvxCP",21.659607,"31.07.2026","4","2","irregular","Rx53","PvxCP",0.0521658648136579,TRUE
"Rx53","Rx53 + PvxCP",15.787821,"31.07.2026","4","2","irregular","Rx53","PvxCP",0.00505544806094255,TRUE
"Rx53","Rx53 + PTO",15.522315,"31.07.2026","4","2","irregular","Rx53","PTO",0.00292524469345839,TRUE
"Rx53","Rx53 + PTO",15.157716,"31.07.2026","4","2","irregular","Rx53","PTO",0,TRUE
"Rx53","Rx53 + PTO",17.04879,"31.07.2026","4","2","irregular","Rx53","PTO",0.0151724337791303,TRUE
"Rx57","Rx57 + SRE2",20.05893,"11.08.2026","4","7","","Rx57","SRE2",0.127708195458047,FALSE
"Rx57","Rx57 + SRE2",33.680426,"11.08.2026","4","7","","Rx57","SRE2",0.215295273220162,FALSE
"Rx57","Rx57 + SRE2",10.420042,"11.08.2026","4","7","","Rx57","SRE2",0.0657295381360962,FALSE
"Rx57","Rx57 + SRE2",14.100208,"11.08.2026","4","7","","Rx57","SRE2",0.0893932374551351,FALSE
"Rx57","Rx57 + SRE2",14.837747,"11.08.2026","4","7","","Rx57","SRE2",0.0941356597078446,FALSE
"Rx57","Rx57 + PvxCP",52.038422,"11.08.2026","4","7","","Rx57","PvxCP",0.333338344495783,FALSE
"Rx57","Rx57 + PvxCP",47.788681,"11.08.2026","4","7","","Rx57","PvxCP",0.30601224202981,FALSE
"Rx57","Rx57 + PvxCP",20.511423,"11.08.2026","4","7","","Rx57","PvxCP",0.130617753965997,FALSE
"Rx57","Rx57 + PvxCP",31.997923,"11.08.2026","4","7","","Rx57","PvxCP",0.204476672891975,FALSE
"Rx57","Rx57 + SRE12",66.614486,"11.08.2026","4","7","","Rx57","SRE12",0.427063354658659,FALSE
"Rx57","Rx57 + SRE12",51.172118,"11.08.2026","4","7","","Rx57","SRE12",0.32776795517778,FALSE
"Rx57","Rx57 + SRE12",74.821651,"11.08.2026","4","7","","Rx57","SRE12",0.479835942857599,FALSE
"Rx57","Rx57 + SRE12",81.456386,"11.08.2026","4","7","","Rx57","SRE12",0.522497707055601,FALSE
"Rx57","Rx57 + PTO",60.187435,"11.08.2026","4","7","","Rx57","PTO",0.385737011669748,FALSE
"Rx57","Rx57 + PTO",23.839304,"11.08.2026","4","7","","Rx57","PTO",0.152016238532602,FALSE
"Rx57","Rx57 + PTO",41.904465,"11.08.2026","4","7","","Rx57","PTO",0.26817636230257,FALSE
"Rx57","Rx57 + PTO",33.744029,"11.08.2026","4","7","","Rx57","PTO",0.215704244518682,FALSE
"Rx57","Rx57 + PTO",132.225857,"11.08.2026","4","7","","Rx57","PTO",0.848948605284286,FALSE
"Rx59","Rx59 + SRE2",84.026165,"04.08.2026","4","3","","Rx59","SRE2",0.433216049263338,FALSE
"Rx59","Rx59 + SRE2",82.889182,"04.08.2026","4","3","","Rx59","SRE2",0.42706025983169,FALSE
"Rx59","Rx59 + SRE2",33.406772,"04.08.2026","4","3","","Rx59","SRE2",0.159155377761812,FALSE
"Rx59","Rx59 + SRE2",52.154134,"04.08.2026","4","3","","Rx59","SRE2",0.260656291030412,FALSE
"Rx59","Rx59 + SRE2",78.207344,"04.08.2026","4","3","","Rx59","SRE2",0.401712115768774,FALSE
"Rx59","Rx59 + AvrSr35",68.616095,"04.08.2026","4","3","","Rx59","AvrSr35",0.34978371470165,FALSE
"Rx59","Rx59 + AvrSr35",78.849824,"04.08.2026","4","3","","Rx59","AvrSr35",0.405190594861289,FALSE
"Rx59","Rx59 + AvrSr35",98.381926,"04.08.2026","4","3","","Rx59","AvrSr35",0.510940203315825,FALSE
"Rx59","Rx59 + AvrSr35",50.792656,"04.08.2026","4","3","","Rx59","AvrSr35",0.253285053392012,FALSE
"Rx59","Rx59 + AvrSr35",68.877309,"04.08.2026","4","3","","Rx59","AvrSr35",0.351197964853674,FALSE
"Rx59","Rx59 + SRE12",69.787819,"04.08.2026","4","3","","Rx59","SRE12",0.356127596902183,FALSE
